,datetime,creator_character_id,guild_id,n_added_characters,n_removed_characters,n_talents,level,n_missions_completed,n_times_flag_turned_on,mean_place,mean_rating,n_seasons,n_characters,energy_delta,cluster,is_premuim
114,2022-11-01 00:25:59,20418336,50310,11,11,1,1,2,0,,0.0,0,0,1960.0,1,False
115,2022-11-01 17:34:59,20603555,50592,86,76,17,3,218,1,9.0,470.0,1,10,134650.0,0,False
116,2022-11-01 06:20:31,20623749,50451,12,12,4,1,23,0,,0.0,0,0,6440.0,1,False
117,2022-11-01 22:22:23,20849540,50733,2,2,0,1,0,0,,0.0,0,0,0.0,1,False
118,2022-12-13 09:16:37,11433754,79074,109,100,30,4,182,0,,0.0,0,9,141880.0,0,False
119,2022-12-13 23:14:41,15961764,79873,55,49,19,3,167,0,,0.0,0,6,79660.0,3,False
120,2022-12-13 17:34:20,16258970,79356,1,1,0,1,1,0,,0.0,0,0,0.0,1,False
121,2022-12-13 03:02:09,16583569,78933,37,37,14,3,93,0,,0.0,0,0,88700.0,1,False
122,2022-12-13 17:59:44,22656926,79450,74,61,34,4,176,1,,0.0,0,13,168180.0,0,False
123,2022-12-13 01:41:33,22840972,78886,3,3,0,1,5,0,,0.0,0,0,3360.0,1,True
124,2022-12-13 20:02:46,23791148,79638,3,1,0,1,86,0,,0.0,0,2,3640.0,1,False
125,2022-12-13 08:27:29,24442209,79027,88,71,59,6,238,1,,0.0,0,17,805176.0,2,False
126,2022-12-13 21:43:58,24662595,79732,22,12,10,3,169,0,,0.0,0,10,47620.0,0,False
127,2022-12-13 00:48:02,24829253,78792,2,1,0,1,86,0,,0.0,0,1,840.0,1,False
128,2022-12-13 17:47:36,25231891,79403,75,75,26,4,90,0,,0.0,0,0,96320.0,3,True
129,2022-12-13 01:02:13,25645569,78839,31,28,31,4,226,0,,0.0,0,3,169280.0,0,True
130,2022-12-13 19:13:32,25725149,79544,2,0,0,1,86,0,,0.0,0,2,1400.0,1,False
131,2022-12-13 18:43:21,26341572,79497,15,10,0,1,86,0,,0.0,0,5,6160.0,1,False
132,2022-12-13 07:52:59,26444566,78980,17,17,2,1,3,0,,0.0,0,0,3080.0,1,False
133,2022-12-13 11:32:06,26574861,79121,25,18,5,2,169,0,,0.0,0,7,9500.0,3,True
134,2022-12-13 21:54:10,26617135,79779,122,106,40,5,195,0,,0.0,0,16,248860.0,0,False
135,2022-12-13 15:00:59,26625530,79309,32,27,17,3,171,0,,0.0,0,5,64300.0,3,True
136,2022-12-13 22:18:18,26652371,79826,95,79,36,5,202,0,,0.0,0,16,213400.0,0,True
137,2022-12-13 14:40:19,26661479,79262,86,65,71,7,266,0,,0.0,0,21,1298954.0,2,True
138,2022-12-13 13:28:59,26709296,79168,113,113,30,4,182,2,23.0,475.0,1,0,141040.0,3,False
139,2022-12-13 19:44:43,26715575,79591,27,17,8,2,169,0,,0.0,0,10,13220.0,3,True
140,2022-12-13 20:10:07,26726339,79685,24,15,6,2,167,0,,0.0,0,9,23980.0,3,True
141,2022-12-13 13:59:50,26737908,79215,17,9,4,2,170,0,,0.0,0,8,13580.0,3,False
142,2022-11-06 10:48:50,15130176,52754,7,6,0,1,86,0,,0.0,0,1,280.0,1,False
143,2022-11-06 05:53:06,16264283,52707,1,1,0,1,0,0,,0.0,0,0,0.0,1,False
144,2022-11-06 11:00:59,18360112,52801,49,44,9,2,171,0,,0.0,0,5,35780.0,3,False
145,2022-11-06 13:03:10,18989852,52895,98,84,26,4,170,0,,0.0,0,14,120860.0,0,False
146,2022-11-06 16:03:25,19108624,52942,148,128,53,6,242,1,25.0,402.0,1,20,855720.0,2,True
147,2022-11-06 21:56:25,19549879,52989,110,90,60,7,253,0,,0.0,0,20,987939.0,2,False
148,2022-11-06 11:32:32,21515160,52848,74,71,28,4,171,0,,0.0,0,3,126180.0,3,True
149,2022-12-08 12:22:15,14163394,74609,5,0,0,1,86,0,,0.0,0,5,1120.0,1,False
150,2022-12-08 03:57:55,19288806,74327,3,3,0,1,7,0,,0.0,0,0,560.0,1,False
151,2022-12-08 18:42:28,19288967,74891,144,143,29,4,133,0,,0.0,0,1,165280.0,3,False
152,2022-12-08 11:39:28,19469632,74515,78,70,29,4,171,0,,0.0,0,8,122440.0,0,False
153,2022-12-08 14:28:04,22089608,74703,1,0,0,1,86,0,,0.0,0,1,280.0,1,False
154,2022-12-08 00:34:47,23714811,74186,81,76,51,6,249,0,,0.0,0,5,823368.0,0,False
155,2022-12-08 10:24:49,24826677,74374,2,2,0,1,0,0,,0.0,0,0,0.0,1,False
156,2022-12-08 11:02:13,25174483,74421,19,19,4,2,12,0,,0.0,0,0,9700.0,1,False
157,2022-12-08 01:40:08,25205073,74233,51,46,16,3,166,0,,0.0,0,5,57360.0,3,False
158,2022-12-08 12:19:49,25230419,74562,38,29,15,3,171,1,25.0,440.0,1,9,44720.0,3,True
159,2022-12-08 18:19:30,25494505,74844,55,46,11,3,170,0,,0.0,0,9,32320.0,3,False
160,2022-12-08 03:15:35,25625835,74280,2,2,0,1,5,0,,0.0,0,0,560.0,1,True
161,2022-12-08 00:05:41,25698860,74139,2,0,0,1,85,0,,0.0,0,2,1400.0,1,True
162,2022-12-08 11:24:11,25736442,74468,40,34,5,2,167,0,,0.0,0,6,17040.0,3,False
163,2022-12-08 19:55:36,25760224,74938,34,27,7,2,168,0,,0.0,0,7,12160.0,3,False
164,2022-12-08 14:19:31,25811790,74656,95,88,32,4,207,0,,0.0,0,7,186500.0,0,False
165,2022-12-08 16:18:23,25887253,74750,50,46,15,3,171,0,,0.0,0,4,47060.0,3,False
166,2022-12-08 17:03:39,25977114,74797,34,29,17,3,171,2,11.0,494.5,2,5,62340.0,3,True
167,2022-12-08 23:04:03,26026978,74985,39,39,8,2,55,0,,0.0,0,0,19640.0,1,True
168,2022-11-16 15:16:36,16654432,56608,1,0,0,1,86,0,,0.0,0,1,0.0,1,False
169,2022-11-16 20:46:56,16915298,56796,23,11,7,2,171,0,,0.0,0,12,20860.0,3,False
170,2022-11-16 06:59:41,18289893,56467,25,23,5,2,169,0,,0.0,0,2,11600.0,3,False
171,2022-11-16 10:08:24,19609219,56514,25,14,9,2,168,0,,0.0,0,11,16880.0,3,False
172,2022-11-16 18:36:46,21168849,56702,5,5,0,1,0,0,,0.0,0,0,0.0,1,False
173,2022-11-16 11:59:19,21390868,56561,31,20,9,2,168,0,,0.0,0,11,26900.0,3,False
174,2022-11-16 22:58:32,21932495,56843,113,106,65,7,255,3,2.5,535.0,2,7,882035.0,2,True
175,2022-11-16 16:07:51,22363584,56655,43,39,12,3,171,1,7.0,470.0,1,4,51940.0,3,True
176,2022-11-16 20:44:22,22450685,56749,86,78,17,3,205,0,,0.0,0,8,132780.0,0,False
177,2022-11-16 23:35:56,22465980,56890,33,32,13,3,169,0,,0.0,0,1,41940.0,3,True
178,2022-11-27 22:35:08,24340434,63658,32,26,9,2,169,0,,0.0,0,6,31980.0,3,True
179,2022-12-03 17:38:06,14740901,70567,76,62,17,3,175,0,,0.0,0,14,98600.0,0,False
180,2022-12-03 02:06:31,17765148,69815,30,25,13,3,169,0,,0.0,0,5,73360.0,3,False
181,2022-12-03 07:03:10,21073123,70097,6,3,6,2,171,0,,0.0,0,3,10480.0,3,False
182,2022-12-03 17:02:29,22113689,70473,6,6,1,1,91,0,,0.0,0,0,1120.0,1,False
183,2022-12-03 05:46:32,22570699,69956,36,36,7,2,156,4,14.0,492.0,1,0,25160.0,3,False
184,2022-12-03 16:16:37,22722775,70379,1,0,0,1,86,0,,0.0,0,1,1680.0,1,False
185,2022-12-03 14:17:09,23322454,70238,11,4,4,2,171,0,,0.0,0,7,12380.0,3,True
186,2022-12-03 12:17:18,23915509,70191,96,74,74,7,254,1,35.0,320.0,1,22,1217203.0,2,False
187,2022-12-03 00:37:32,24330337,69721,1,1,0,1,6,0,,0.0,0,0,280.0,1,False
188,2022-12-03 04:29:44,24449523,69909,12,12,1,1,1,0,,0.0,0,0,2520.0,1,False
189,2022-12-03 02:26:35,24602818,69862,22,12,5,2,167,0,,0.0,0,10,14560.0,3,True
190,2022-12-03 15:38:08,24845307,70332,79,69,13,3,171,0,,0.0,0,10,63360.0,0,False
191,2022-12-03 07:12:36,24988505,70144,36,27,4,2,171,0,,0.0,0,9,23980.0,3,True
192,2022-12-03 15:24:54,25083909,70285,37,32,11,3,171,2,28.0,410.0,1,5,28820.0,3,False
193,2022-12-03 19:04:51,25090050,70614,1,1,0,1,0,0,,0.0,0,0,0.0,1,False
194,2022-12-03 01:45:58,25229246,69768,8,3,3,1,169,0,,0.0,0,5,7960.0,3,False
195,2022-12-03 16:48:55,25251119,70426,11,4,3,1,170,0,,0.0,0,7,6000.0,3,False
196,2022-12-03 06:28:17,25254960,70003,47,47,9,2,33,0,,0.0,0,0,19140.0,1,False
197,2022-12-03 06:53:56,25287229,70050,68,65,20,3,171,0,,0.0,0,3,77600.0,3,True
198,2022-12-03 17:09:22,25351836,70520,8,3,0,1,86,0,,0.0,0,5,1960.0,1,False
199,2022-12-19 06:01:35,15508641,83774,1,1,0,1,0,0,,0.0,0,0,0.0,1,False
200,2022-12-19 20:47:49,18280187,84244,58,58,17,3,41,0,,0.0,0,0,60840.0,1,False
201,2022-12-19 11:51:42,18550759,83868,1,1,0,1,7,0,,0.0,0,0,280.0,1,False
202,2022-12-19 15:35:29,24034327,83962,1,0,0,1,86,0,,0.0,0,1,840.0,1,False
203,2022-12-19 20:18:13,24337076,84150,55,55,10,2,35,0,,0.0,0,0,29080.0,1,False
204,2022-12-19 20:46:37,24495270,84197,62,55,23,4,171,0,,0.0,0,7,122080.0,0,True
205,2022-12-19 23:41:11,25181590,84432,64,55,20,3,170,0,,0.0,0,9,59120.0,0,False
206,2022-12-19 22:24:14,26220569,84338,10,0,1,1,171,0,,0.0,0,10,2800.0,3,False
207,2022-12-19 23:09:12,26562142,84385,2,1,0,1,86,0,,0.0,0,1,560.0,1,False
208,2022-12-19 19:35:04,26719416,84103,20,14,11,3,171,0,,0.0,0,6,40160.0,3,False
209,2022-12-19 21:46:16,26749500,84291,113,112,16,3,171,0,,0.0,0,1,57780.0,3,False
210,2022-12-19 11:26:41,27080033,83821,2,2,0,1,1,0,,0.0,0,0,280.0,1,True
211,2022-12-19 05:34:47,27431128,83680,22,19,4,2,171,0,,0.0,0,3,12780.0,3,False
212,2022-12-19 05:44:39,27454611,83727,56,49,14,3,167,0,,0.0,0,7,44360.0,3,False
213,2022-12-19 03:12:23,27472666,83633,5,5,0,1,0,0,,0.0,0,0,0.0,1,False
214,2022-12-19 00:18:35,27586263,83586,31,31,9,2,23,0,,0.0,0,0,16720.0,1,False
215,2022-12-19 18:38:38,27622373,84056,41,41,2,1,15,0,,0.0,0,0,4500.0,1,False
216,2022-12-19 15:05:11,27630285,83915,3,2,0,1,86,0,,0.0,0,1,840.0,1,False
217,2022-12-19 16:37:03,27661427,84009,12,12,0,1,0,0,,0.0,0,0,0.0,1,True
218,2022-12-25 22:36:56,20440232,91999,3,2,0,1,87,0,,0.0,0,1,560.0,1,False
219,2022-12-25 14:20:48,23804557,91482,2,0,10,2,167,0,,0.0,0,2,22580.0,3,False
220,2022-12-25 11:17:03,23812032,91388,1,1,0,1,17,0,,0.0,0,0,280.0,1,True
221,2022-12-25 08:56:55,24513463,91247,14,6,0,1,87,0,,0.0,0,8,4480.0,1,False
222,2022-12-25 10:27:50,25656172,91294,25,15,8,2,170,0,,0.0,0,10,28980.0,3,False
223,2022-12-25 08:13:30,26173718,91200,36,30,12,3,173,0,,0.0,0,6,55100.0,3,True
224,2022-12-25 19:42:02,26851597,91811,22,16,6,2,173,0,,0.0,0,6,24860.0,3,False
225,2022-12-25 11:13:58,26900863,91341,1,1,2,1,134,0,,0.0,0,0,4220.0,1,False
226,2022-12-25 00:57:26,27080033,91059,1,1,0,1,1,0,,0.0,0,0,280.0,1,True
227,2022-12-25 00:27:25,27179485,91012,1,0,0,1,87,0,,0.0,0,1,840.0,1,False
228,2022-12-25 18:09:54,27318980,91670,130,116,36,5,239,4,13.666666666666666,511.6666666666667,3,14,376100.0,0,True
229,2022-12-25 20:41:01,27324592,91858,84,72,16,3,173,1,20.0,398.0,1,12,52880.0,0,False
230,2022-12-25 21:32:27,27403160,91905,40,38,10,2,172,0,,0.0,0,2,31860.0,3,True
231,2022-12-25 07:30:48,27419973,91153,1,1,0,1,1,0,,0.0,0,0,280.0,1,False
232,2022-12-25 22:35:55,27954401,91952,100,85,29,4,185,0,,0.0,0,15,215440.0,0,False
233,2022-12-25 16:14:23,28192014,91576,13,4,0,1,87,0,,0.0,0,9,2520.0,1,False
234,2022-12-25 19:34:11,28360144,91764,91,77,26,4,199,0,,0.0,0,14,179540.0,0,True
235,2022-12-25 14:39:12,28463299,91529,67,57,36,5,223,0,,0.0,0,10,267960.0,0,True
236,2022-12-25 18:45:13,28473005,91717,15,9,0,1,87,0,,0.0,0,6,5320.0,1,False
237,2022-12-25 06:36:20,28479307,91106,2,2,0,1,0,0,,0.0,0,0,0.0,1,False
238,2022-12-25 14:16:32,28624805,91435,1,1,0,1,0,0,,0.0,0,0,0.0,1,False
239,2022-12-25 16:33:17,28648058,91623,2,0,0,1,87,0,,0.0,0,2,0.0,1,True
240,2022-11-12 21:04:40,21808962,55433,2,2,0,1,0,0,,0.0,0,0,0.0,1,True
241,2022-12-14 10:50:25,17837322,80296,2,0,0,1,85,0,,0.0,0,2,560.0,1,False
242,2022-12-14 12:46:19,20448397,80390,90,83,24,3,168,0,,0.0,0,7,106760.0,3,False
243,2022-12-14 00:59:33,22071967,80014,7,1,8,2,170,0,,0.0,0,6,13980.0,3,False
244,2022-12-14 14:04:03,24027105,80484,44,36,18,3,171,0,,0.0,0,8,54800.0,3,False
245,2022-12-14 18:50:05,25312207,80578,10,5,3,2,166,0,,0.0,0,5,7600.0,3,False
246,2022-12-14 10:19:32,25625720,80249,24,23,8,2,167,0,,0.0,0,1,14520.0,3,False
247,2022-12-14 13:25:13,25643637,80437,1,1,0,1,0,0,,0.0,0,0,0.0,1,True
248,2022-12-14 04:50:27,26308337,80061,29,28,11,3,169,0,,0.0,0,1,24840.0,3,False
249,2022-12-14 00:02:23,26337501,79920,30,20,6,2,170,0,,0.0,0,10,18880.0,3,False
250,2022-12-14 00:56:23,26468072,79967,22,16,12,3,166,0,,0.0,0,6,32020.0,3,False
251,2022-12-14 11:47:53,26564649,80343,24,20,3,2,168,0,,0.0,0,4,10880.0,3,False
252,2022-12-14 05:42:27,26584199,80108,78,67,13,3,169,0,,0.0,0,11,59680.0,0,True
253,2022-12-14 06:11:31,26610902,80155,38,35,21,3,169,1,13.0,461.0,1,3,113140.0,3,True
254,2022-12-14 16:54:53,26660398,80531,19,12,11,3,166,0,,0.0,0,7,28200.0,3,False
255,2022-12-14 09:45:31,26868640,80202,50,40,12,3,169,0,,0.0,0,10,57140.0,0,True
256,2022-12-25 23:42:34,27335770,92046,40,34,10,3,173,0,,0.0,0,6,35320.0,3,False
257,2022-11-21 13:39:36,16364701,58958,1,0,0,1,85,0,,0.0,0,1,0.0,1,False
258,2022-12-08 23:58:43,18421430,75032,1,0,0,1,86,0,,0.0,0,1,280.0,1,False
259,2022-12-26 18:32:39,15757800,92704,1,0,0,1,87,0,,0.0,0,1,0.0,1,False
260,2022-12-26 16:23:42,22517063,92610,2,0,0,1,87,0,,0.0,0,2,1400.0,1,False
